Element,Family,Total_Concentration
Ag,Agaricaceae,3.0613
Ag,Amaranthaceae,0.08132
Ag,Amaryllidaceae,0.012885
Ag,Anacardiaceae,0.023365
Ag,Apiaceae,0.000913
Ag,Arecaceae,0.0055
Ag,Asteraceae,0.044057
Ag,Brassicaceae,0.100084
Ag,Caricaceae,0.01068
Ag,Convolvulaceae,0.048522
Ag,Cucurbitaceae,0.39267
Ag,Euphorbiaceae,0.0820186
Ag,Fabaceae,0.215708
Ag,Lauraceae,0.002423
Ag,Lecythidaceae,0.0022
Ag,Malvaceae,0.05505154
Ag,Moraceae,0.00618
Ag,Moringaceae,0.036789
Ag,Musaceae,0.005294
Ag,Myrtaceae,0.000222
Ag,Pedaliaceae,0.00175
Ag,Phyllanthaceae,0.00534
Ag,Poaceae,0.2639839
Ag,Rhamnaceae,0.006379999999999999
Ag,Rosaceae,0.00558
Ag,Rutaceae,0.000618
Ag,Solanaceae,0.055808
Ag,Theaceae,0.004874000000000001
Ag,Unknown,0.0955924
Ag,Zingiberaceae,0.0125
Al,Acanthaceae,2010.0
Al,Agaricaceae,4198.0
Al,Amaranthaceae,11258.82
Al,Amaryllidaceae,36.1
Al,Anacardiaceae,839.93
Al,Anisophylleaceae,713.0
Al,Annonaceae,6.5
Al,Apiaceae,1922.6
Al,Apocynaceae,3919.5
Al,Arecaceae,130.8
Al,Asteraceae,9627.869999999999
Al,Brassicaceae,11264.9
Al,Burseraceae,4.4
Al,Capparaceae,35.07
Al,Caricaceae,47.239999999999995
Al,Cistaceae,356.0
Al,Convolvulaceae,8831.161
Al,Cucurbitaceae,28836.78
Al,Dioscoreaceae,146.87
Al,Ephedraceae,80.3
Al,Euphorbiaceae,7943.4800000000005
Al,Fabaceae,16021.948
Al,Fagaceae,3.0
Al,Gnetaceae,50.0
Al,Hylocomiaceae,2820.0
Al,Lamiaceae,60005.7
Al,Lauraceae,273.5
Al,Lecythidaceae,25.8
Al,Loganiaceae,9.5
Al,Malvaceae,14330.0
Al,Melastomataceae,316.0
Al,Moraceae,210.0
Al,Moringaceae,7084.2
Al,Musaceae,31.63
Al,Myrtaceae,335.46
Al,Orchidaceae,11.2
Al,Oxalidaceae,139.0
Al,Papaveraceae,267.6
Al,Pedaliaceae,62.6
Al,Phyllanthaceae,44380.07
Al,Pinaceae,1239.2
Al,Piperaceae,10.4
Al,Poaceae,29192.937
Al,Polygonaceae,5.3
Al,Portulacaceae,4.47
